"tsn","species_common","species_scientific","adfg_code","adfg_comment","akr_code","akr_name","obs_code","obs_name","race_code","race_name","iphc_code","iphc_name","sa_comments"
NA,"sea urchin","class Ehinodea","896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"coral","genus Corallium","899",NA,"899","Coral","32","CORAL, BRYOZOANS UNIDENTIFIED",NA,NA,NA,NA,NA
"97951","crab,box","Lopholithodes foraminatus","900",NA,"900","Crabs, box","11","BOX CRAB","69270","box crab",NA,NA,NA
"98675","crab, Dungeness","Cancer magister","910",NA,"910","Crab, dungeness","12","DUNGENESS CRAB","68020","Dungeness crab",48,"Dungeness Crab",""
NA,"crab, king (general)","genus Lithodes and genus Paralithodes","920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97935","crab, red king","Paralithodes camtschaticus","921",NA,"921","Red King Crab","13","RED KING CRAB","69322","red king crab",NA,NA,NA
"97936","crab, blue king","Paralithodes platypus","922",NA,"922","Blue King Crab","6","BLUE KING CRAB","69323","blue king crab",199,"Blue King Crab",""
"168791","mahi mahi/ dolphin","Coryphaena hippurus","751",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"mako shark","genus Isurus","752",NA,"689","Shark, Other","65","SHARK UNIDENTIFIED","150","shark unident.",63,"Miscellaneous Shark",""
"172428","tuna, big eye","Thunnus obesus","753",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"striped marlin","Tetrapturus audax","754",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172423","tuna, yellowfin","Thunnus albacares","755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172565","pompano Pacific","Peprilus simillimus","756",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172412","mackerel, chub","Scomber japonicus","757",NA,NA,NA,"199","CHUB MACKEREL","23524","chub mackerel",NA,NA,NA
NA,"lanternfish","family Myctophidae","772","Forage fish group","772","Lanternfishes (family Myctophidae)","700","LANTERNFISH UNIDENTIFIED","22600","lanternfish unident.",NA,NA,NA
NA,"deep-sea smelts","family Bathylagidae","773","Forage fish group","773","Deep-sea Smelt (family Bathylagidae)","618","BLACKSMELT UNIDENTIFIED","20614","deepsea smelt unident.",NA,NA,NA
NA,"Pacific sand lance","family Ammodytidae","774","Forage fish group","774","Pacific Sand Lance (family Ammodytidae)","670","PACIFIC SAND LANCE","20202","Pacific sand lance",NA,NA,NA
