"tsn","species_common","species_scientific","adfg_code","adfg_comment","akr_code","akr_name","obs_code","obs_name","race_code","race_name","iphc_code","iphc_name","sa_comments"
NA,"pomfret, general","family Bramidae","759","jaf - 21-03-09",NA,NA,NA,NA,NA,NA,NA,NA,NA
"89476","barnacles, gooseneck","Pollicipes polymerus","980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171345","wolf-eel","Anarrhichthys ocellatus","217",NA,"217","Wolf-eel ","780","WOLF-EEL","20320","wolf-eel",53,"Wolf-Eel","no weight data available for AI, use BS or GOA as proxy"
"165609","saury, Pacific","Cololabis saira","220",NA,"220","Pacific saury","607","PACIFIC SAURY","23562","Pacific saury",NA,NA,NA
NA,"herring, Pacific","Clupea pallasi","230","Prior to 1999 th","230","Pacific Herring (directed fishery)","611","PACIFIC HERRING","21110","Pacific herring",39,"Pacific Herring",""
NA,"herring, food","Clupea pallasi","235","Documented as bycatch to groundfish fishery","235","Pacific Herring","611","PACIFIC HERRING","21110","Pacific herring",39,"Pacific Herring",""
"164719","tomcod, Pacific","Microgadus proximus","250",NA,"250","Pacific tomcod","209","PACIFIC TOMCOD","21710","Pacific tomcod",22,"Pacific Tomcod","coded as ""pollock"" no weight data available"
"164673","Pacific flatnose","Antimora microlepis","260","Prior to 1999 common name documented as longfin cod","260","Pacific Flatnose Codling","210","PACIFIC FLATNOSE","21731","Pacific flatnose",NA,NA,NA
NA,"pollock, walleye","Theragra chalcogramma","270",NA,"270","Pollock","201","POLLOCK","21740","walleye pollock",28,"Walleye Pollock",""
NA,"rockfish, aurora","Seabastes aurora","185",NA,"185","Aurora Rockfish","334","AURORA ROCKFISH","30090","aurora rockfish",NA,NA,NA
NA,"greenling, general","genus Hexagrammidae","190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"greenling, rock","Hexagrammos  lagocephalus","191",NA,"191","Greenling, rock","393","ROCK GREENLING","21934","rock greenling",NA,NA,NA
"167113","greenling, whitespot","Hexagrammos stelleri","192",NA,"192","Greenling, whitespot","391","WHITESPOTTED GREENLING","21932","whitespotted greenling",NA,NA,NA
"167120","greenling, atka mackerel","Pleurogrammus monopterygius","193",NA,"193","Atka Mackerel","204","ATKA MACKEREL","21921","Atka mackerel",43,"Atka Mackerel",""
"167110","greenling, kelp","Hexagrammos decagrammus","194",NA,"194","Greenling, kelp","392","KELP GREENLING","21935","kelp greenling",172,"Kelp Greenling",""
"172932","halibut, Pacific","Hippoglossus stenolepis","200",NA,"200","Pacific Halibut","101","PACIFIC HALIBUT","10120","Pacific halibut",1,"Pacific Halibut",""
NA,"Pacific sand fish","family Trichodontidae","206","Forage fish group","206","Pacific sandfish (family Trichodontidae)","239","PACIFIC SANDFISH","21592","Pacific sandfish",41,"Pacific Sandfish",""
NA,"gunnels","family Pholidae","207","Forage fish group","207","Gunnels, (family Pholidae)","430","GUNNEL UNIDENTIFIED","23871","gunnel unident.",NA,NA,NA
NA,"prickleback, warbonnet, ellblenny, cockscome, shanny","family Stichaeidae","208","Forage fish group","208","Pricklebacks, etc.  (family Stichaeidae)","750","PRICKLEBACK UNIDENTIFIED","23800","prickleback unident.",36,"Prickleback","coded as ""eelpout unidentifed"" no weight data available"
NA,"prickleback, warbonnet, ellblenny, cockscome, shanny","family Stichaeidae","208","Forage fish group","208","Pricklebacks, etc.  (family Stichaeidae)","751","SNAKE PRICKLEBACK","23808","snake prickleback",NA,NA,NA
NA,"prickleback, warbonnet, ellblenny, cockscome, shanny","family Stichaeidae","208","Forage fish group","208","Pricklebacks, etc.  (family Stichaeidae)","752","ARCTIC SHANNY","23804","Arctic shanny",NA,NA,NA
NA,"prickleback, warbonnet, ellblenny, cockscome, shanny","family Stichaeidae","208","Forage fish group","208","Pricklebacks, etc.  (family Stichaeidae)","753","DAUBED SHANNY","23805","daubed shanny",NA,NA,NA
NA,"prickleback, warbonnet, ellblenny, cockscome, shanny","family Stichaeidae","208","Forage fish group","208","Pricklebacks, etc.  (family Stichaeidae)","754","PEARLY PRICKLEBACK","23862","pearly prickleback",NA,NA,NA
NA,"prickleback, warbonnet, ellblenny, cockscome, shanny","family Stichaeidae","208","Forage fish group","208","Pricklebacks, etc.  (family Stichaeidae)","755","WHITEBARRED PRICKLEBACK","23850","whitebarred prickleback",NA,NA,NA
NA,"prickleback, warbonnet, ellblenny, cockscome, shanny","family Stichaeidae","208","Forage fish group","208","Pricklebacks, etc.  (family Stichaeidae)","756","LONGSNOUT PRICKLEBACK","23836","longsnout prickleback",NA,NA,NA
NA,"prickleback, warbonnet, ellblenny, cockscome, shanny","family Stichaeidae","208","Forage fish group","208","Pricklebacks, etc.  (family Stichaeidae)","757","DECORATED WARBONNET","23841","decorated warbonnet",NA,NA,NA
NA,"bristlemouth, lightfish, anglemouth","family Gonostomatidae","209","Forage fish group","209","Bristlemouths, (family Gonostomatidae)","696","BRISTLEMOUTHS",NA,NA,NA,NA,NA
NA,"eels or eel-like fish","Multiple Families","210",NA,"210","Eels or eel-like fish  ","259","SHORTFIN EELPOUT","24191","shortfin eelpout",NA,NA,NA
NA,"eels or eel-like fish","Multiple Families","210",NA,"210","Eels or eel-like fish  ","261","BLACKBELLY EELPOUT","24200","blackbelly eelpout",NA,NA,NA
NA,"eels or eel-like fish","Multiple Families","210",NA,"210","Eels or eel-like fish  ","262","KAMCHATCA EELPOUT","24152","Kamchatka eelpout",NA,NA,NA
NA,"eels or eel-like fish","Multiple Families","210",NA,"210","Eels or eel-like fish  ","263","EBONY EELPOUT","24187","ebony eelpout",NA,NA,NA
NA,"eels or eel-like fish","Multiple Families","210",NA,"210","Eels or eel-like fish  ","258","PALLID EELPOUT","24170","pallid eelpout",NA,NA,NA
NA,"eels or eel-like fish","Multiple Families","210",NA,"210","Eels or eel-like fish  ","559","SNIPE EEL UNIDENTIFIED","22701","snipe eel unident.",NA,NA,NA
NA,"eels or eel-like fish","Multiple Families","210",NA,"210","Eels or eel-like fish  ","560","SLENDER SNIPE EEL","22702","slender snipe eel",NA,NA,NA
NA,"eels or eel-like fish","Multiple Families","210",NA,"210","Eels or eel-like fish  ","561","BLACKLINE SNIPE EEL","22704","blackline snipe eel",NA,NA,NA
NA,"eels or eel-like fish","Multiple Families","210",NA,"210","Eels or eel-like fish  ","563","RIBBONFISH UNIDENTIFIED",NA,NA,NA,NA,NA
NA,"eels or eel-like fish","Multiple Families","210",NA,"210","Eels or eel-like fish  ","608","KING-OF-THE-SALMON","23932","king-of-the-salmon",NA,NA,NA
NA,"eels or eel-like fish","Multiple Families","210",NA,"210","Eels or eel-like fish  ","650","FROSTFISH","23942","FROSTFISH",NA,NA,NA
NA,"eels or eel-like fish","Multiple Families","210",NA,"210","Eels or eel-like fish  ","660","CUTLASSFISH UNIDENTIFIED","23940","CUTLASSFISH UNIDENTIFIED",NA,NA,NA
NA,"eels or eel-like fish","Multiple Families","210",NA,"210","Eels or eel-like fish  ","248","CUSK-EEL UNIDENTIFIED","20900","cusk-eel unident.",NA,NA,NA
NA,"eels or eel-like fish","Multiple Families","210",NA,"210","Eels or eel-like fish  ","249","MARBLED EELPOUT","24184","marbled eelpout",NA,NA,NA
NA,"eels or eel-like fish","Multiple Families","210",NA,"210","Eels or eel-like fish  ","250","EELPOUT UNIDENTIFIED","24100","eelpout unident.",35,"Eelpout",""
NA,"eels or eel-like fish","Multiple Families","210",NA,"210","Eels or eel-like fish  ","251","WATTLED EELPOUT","24185","wattled eelpout",NA,NA,NA
NA,"eels or eel-like fish","Multiple Families","210",NA,"210","Eels or eel-like fish  ","252","POLAR EELPOUT","24189","polar eelpout",NA,NA,NA
NA,"eels or eel-like fish","Multiple Families","210",NA,"210","Eels or eel-like fish  ","253","TWOLINE EELPOUT","24110","twoline eelpout",NA,NA,NA
NA,"eels or eel-like fish","Multiple Families","210",NA,"210","Eels or eel-like fish  ","254","BLACK EELPOUT","24190","black eelpout",NA,NA,NA
NA,"eels or eel-like fish","Multiple Families","210",NA,"210","Eels or eel-like fish  ","255","BASKETWEAVE CUSK-EEL","20902","basketweave cusk-eel",NA,NA,NA
NA,"eels or eel-like fish","Multiple Families","210",NA,"210","Eels or eel-like fish  ","256","SPOTTED CUSK-EEL","20901","spotted cusk-eel",NA,NA,NA
NA,"eels or eel-like fish","Multiple Families","210",NA,"210","Eels or eel-like fish  ","257","BIGFIN EELPOUT","24140","bigfin eelpout",NA,NA,NA
NA,"wrymouths","family Cryptacanthodidae","211",NA,"211","Wrymouths","759","WRYMOUTH UNIDENTIFIED",NA,NA,NA,NA,NA
NA,"hagfish, Pacific","Eptatretus stouti","212",NA,"212","Pacific hagfish","77","HAGFISH UNIDENTIFIED","100","hagfish unident.",153,"unident. Hagfish","coded as ""Lamprey unidentifed"" in FMA"
NA,"grenadier (rattail)","family Macrouridae","213",NA,"213","Grenadiers (rattails, general)","80","GRENADIER UNIDENTIFIED","21232","Popeye Grenadier",NA,NA,NA
NA,"grenadier (rattail)","family Macrouridae","213",NA,"213","Grenadiers (rattails, general)","80","GRENADIER UNIDENTIFIED","21200","grenadier unident.",42,"Grenadier (Rattails)",""
"165427","grenadier, giant","Albatrossia pectoralis","214",NA,"214","Giant grenadier","82","GIANT RATTAIL","21230","giant grenadier",NA,NA,NA
"171659","prowfish","Zaprora silenus","215",NA,"215","Prowfish","205","PROWFISH","24001","prowfish",98,"Prowfish",""
"167485","lumpsucker, smooth","Aptocyclus ventricosus","216",NA,"216","Lumpsucker, smooth","531","SMOOTH LUMPSUCKER","22175","smooth lumpsucker",NA,NA,NA
"166730","rockfish, blue","Sebastes mystinus","167",NA,"167","Blue Rockfish","316","BLUE ROCKFISH","30360","blue rockfish",33,"Blue Rockfish","coded as ""dusky rockfish"" no weight data available"
NA,"rockfish, unspecified demersal",NA,"168","NMFS group code - State requires individual rockfish identification/documentation on fish tickets.      DSR assemblage - as defined by Region I.",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"rockfish, unspecified pelagic",NA,"169","NMFS group code - State requires individual rockfish identific",NA,NA,NA,NA,NA,NA,NA,NA,NA
"161729","sardine, Pacific (pilchard)","Sardinops sagax","170",NA,"170","Pacific sardine","614","PACIFIC SARDINE","21130","Pacific sardine",111,"Pacific Sardine",""
NA,"rockfish, shortraker/rougheye","Sebastes aleutianus/Sebastes borealis group code","171","NMFS group code - State requires individual rockfish identification/documentation on fish tickets.","171","Shortraker/Rougheye Rockfish","354","SHORTRAKER/ROUGHEYE ROCKFISH","30050","rougheye and blackspotted rockfish unid.",31,"Rougheye Rockfish",""
"166737","rockfish, yellowmouth","Sebastes reedi","175",NA,"175","Yellowmouth Rockfish","320","YELLOWMOUTH ROCKFISH","30600","yellowmouth rockfish",128,"Yellowmouth Rockfish","coded as ""dusky rockfish"" no weight data available"
"166742","rockfish, harlequin","Sebastes variegatus","176",NA,"176","Harlequin Rockfish","323","HARLEQUIN ROCKFISH","30535","harlequin rockfish",160,"Harlequin Rockfish",""
"166728","rockfish, blackgill","Sebastes melanostomus","177",NA,"177","Blackgill Rockfish","319","BLACKGILL ROCKFISH","30340","blackgill rockfish",132,"Blackgill Rockfish","coded as ""black rockfish"" no weight data available"
"166722","rockfish, chilipepper","Sebastes goodei","178",NA,"178","Chilipepper Rockfish","325","CHILIPEPPER ROCKFISH","30260","chilipepper",NA,NA,NA
"166743","rockfish, pygmy","Sebastes wilsoni","179",NA,"179","Pygmy Rockfish","335","PYGMY ROCKFISH","30550","pygmy rockfish",NA,NA,NA
"161702","shad, American","Alosa sapidissima","180",NA,"180","Shad","606","AMERICAN SHAD","21120","American shad",NA,NA,NA
"166725","rockfish, shortbelly","Sebastes jordani","181",NA,"181","Shortbelly Rockfish","318","SHORTBELLY ROCKFISH","30290","shortbelly rockfish",NA,NA,NA
"166741","rockfish, stripetail","Sebastes saxicola","183",NA,"183","Stripetail Rockfish","328","STRIPETAIL ROCKFISH","30490","stripetail rockfish",NA,NA,NA
"166729","rockfish, vermilion","Sebastes miniatus","184",NA,"184","Vermilion Rockfish","331","VERMILION ROCKFISH","30350","vermilion rockfish",135,"Vermilion Rockfish","coded as ""silver gray"" use GOA data as proxy"
"166732","rockfish, tiger","Sebastes nigrocinctus","148",NA,"148","Tiger Rockfish","329","TIGER ROCKFISH","30380","tiger rockfish",123,"Tiger Rockfish","no weight data for AI or BS, use GOA as proxy"
"166731","rockfish, china","Sebastes nebulosus","149",NA,"149","China Rockfish","346","CHINA ROCKFISH","30370","China rockfish",88,"China Rockfish","no weight data for AI or BS, use GOA as proxy"
"166723","rockfish, rosethorn","Sebastes helvomaculatus","150",NA,"150","Rosethorn Rockfish","309","ROSETHORN ROCKFISH","30270","rosethorn rockfish",121,"Rosethorn Rockfish","no weight data for AI or BS, use GOA as proxy"
"166706","rockfish, rougheye","Sebastes aleutianus","151",NA,"151","Rougheye Rockfish","307","ROUGHEYE ROCKFISH","30051","rougheye rockfish",NA,NA,NA
"166712","rockfish, shortraker","Sebastes borealis","152",NA,"152","Shortraker Rockfish","326","SHORTRAKER ROCKFISH","30576","shortraker rockfish",119,"Shortraker Rockfish",""
"166710","rockfish, redbanded","Sebastes babcocki","153",NA,"153","Redbanded Rockfish","308","RED BANDED ROCKFISH","30475","redbanded rockfish",90,"Redbanded Rockfish",""
"166720","rockfish, yellowtail","Sebastes flavidus","155",NA,"155","Yellowtail Rockfish","321","YELLOWTAIL ROCKFISH","30240","yellowtail rockfish",122,"Yellowtail Rockfish","coded as ""dusky rockfish"" no weight data available"
"166719","rockfish, widow","Sebastes entomelas","156",NA,"156","Widow Rockfish","305","WIDOW ROCKFISH","30220","widow rockfish",136,"Widow Rockfish","coded as ""POP"" no weight data available for LL"
"166711","rockfish, silvergray","Sebastes brevispinis","157",NA,"157","Silvergray Rockfish","310","SILVERGRAY ROCKFISH","30100","silvergray rockfish",60,"Silvergray Rockfish","no weight data for AI or BS, use GOA as proxy"
"166736","rockfish, redstripe","Sebastes proriger","158",NA,"158","Redstripe Rockfish","324","REDSTRIPE ROCKFISH","30430","redstripe rockfish",131,"Redstripe Rockfish","coded as ""dusky rockfish"" no weight data available for LL gear"
"166715","rockfish, darkblotched","Sebastes crameri","159",NA,"159","Darkblotched Rockfish","311","DARK BLOTCHED ROCKFISH","30170","darkblotched rockfish",120,"Darkblotched Rkfish","no weight data for AI, use BS or GOA as proxy"
NA,"sculpin, general","family Cottidae","160",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21305","Zesticelus profundorum",NA,NA,NA
NA,"sculpin, general","family Cottidae","160",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21329","Gymnocanthus detrisus ",NA,NA,NA
NA,"sculpin, general","family Cottidae","160",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21333","Artediellus pacificus",NA,NA,NA
NA,"sculpin, general","family Cottidae","160",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21334","Artediellus scaber ",NA,NA,NA
NA,"sculpin, general","family Cottidae","160",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21337","broadfin sculpin",NA,NA,NA
NA,"sculpin, general","family Cottidae","160",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21338","Malacocottus aleuticus",NA,NA,NA
NA,"sculpin, general","family Cottidae","160",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21353","crescent-tail sculpin",NA,NA,NA
NA,"sculpin, general","family Cottidae","160",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21360","brightbelly sculpin",NA,NA,NA
NA,"sculpin, general","family Cottidae","160",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21379","hairhead sculpin",NA,NA,NA
NA,"sculpin, general","family Cottidae","160",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21405","eyeshade sculpin ",NA,NA,NA
NA,"sculpin, general","family Cottidae","160",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21423","Eurymen gyrinus",NA,NA,NA
NA,"sculpin, general","family Cottidae","160",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21421","Sculpins Unidentified",NA,NA,NA
NA,"sculpin, general","family Cottidae","160",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21415","Rhamphocottus richardsoni",NA,NA,NA
NA,"sculpin, general","family Cottidae","160",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21339","Malacocottus sp.",NA,NA,NA
NA,"sculpin, general","family Cottidae","160",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21312","Spotfin sculpin",NA,NA,NA
NA,"sculpin, general","family Cottidae","160",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21331","Hookear Sculpin",NA,NA,NA
NA,"sculpin, general","family Cottidae","160",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21300","sculpin unident.",29,"unident. Sculpin",""
"167230","sculpin, coastrange","Cottus aleuticus","161",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21305","Zesticelus profundorum",NA,NA,NA
"167230","sculpin, coastrange","Cottus aleuticus","161",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21329","Gymnocanthus detrisus ",NA,NA,NA
"167230","sculpin, coastrange","Cottus aleuticus","161",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21333","Artediellus pacificus",NA,NA,NA
"167230","sculpin, coastrange","Cottus aleuticus","161",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21334","Artediellus scaber ",NA,NA,NA
"167230","sculpin, coastrange","Cottus aleuticus","161",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21337","broadfin sculpin",NA,NA,NA
"167230","sculpin, coastrange","Cottus aleuticus","161",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21338","Malacocottus aleuticus",NA,NA,NA
"167230","sculpin, coastrange","Cottus aleuticus","161",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21353","crescent-tail sculpin",NA,NA,NA
"167230","sculpin, coastrange","Cottus aleuticus","161",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21360","brightbelly sculpin",NA,NA,NA
"167230","sculpin, coastrange","Cottus aleuticus","161",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21379","hairhead sculpin",NA,NA,NA
"167230","sculpin, coastrange","Cottus aleuticus","161",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21405","eyeshade sculpin ",NA,NA,NA
"167230","sculpin, coastrange","Cottus aleuticus","161",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21423","Eurymen gyrinus",NA,NA,NA
"167230","sculpin, coastrange","Cottus aleuticus","161",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21421","Sculpins Unidentified",NA,NA,NA
"167230","sculpin, coastrange","Cottus aleuticus","161",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21415","Rhamphocottus richardsoni",NA,NA,NA
"167230","sculpin, coastrange","Cottus aleuticus","161",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21339","Malacocottus sp.",NA,NA,NA
"167230","sculpin, coastrange","Cottus aleuticus","161",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21312","Spotfin sculpin",NA,NA,NA
"167230","sculpin, coastrange","Cottus aleuticus","161",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21331","Hookear Sculpin",NA,NA,NA
"167230","sculpin, coastrange","Cottus aleuticus","161",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21300","sculpin unident.",29,"unident. Sculpin",""
"167232","sculpin, slimy","Cottus cognatus","162",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21305","Zesticelus profundorum",NA,NA,NA
"167232","sculpin, slimy","Cottus cognatus","162",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21329","Gymnocanthus detrisus ",NA,NA,NA
"167232","sculpin, slimy","Cottus cognatus","162",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21333","Artediellus pacificus",NA,NA,NA
"167232","sculpin, slimy","Cottus cognatus","162",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21334","Artediellus scaber ",NA,NA,NA
"167232","sculpin, slimy","Cottus cognatus","162",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21337","broadfin sculpin",NA,NA,NA
"167232","sculpin, slimy","Cottus cognatus","162",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21338","Malacocottus aleuticus",NA,NA,NA
"167232","sculpin, slimy","Cottus cognatus","162",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21353","crescent-tail sculpin",NA,NA,NA
"167232","sculpin, slimy","Cottus cognatus","162",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21360","brightbelly sculpin",NA,NA,NA
"167232","sculpin, slimy","Cottus cognatus","162",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21379","hairhead sculpin",NA,NA,NA
"167232","sculpin, slimy","Cottus cognatus","162",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21405","eyeshade sculpin ",NA,NA,NA
"167232","sculpin, slimy","Cottus cognatus","162",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21423","Eurymen gyrinus",NA,NA,NA
"167232","sculpin, slimy","Cottus cognatus","162",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21421","Sculpins Unidentified",NA,NA,NA
"167232","sculpin, slimy","Cottus cognatus","162",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21415","Rhamphocottus richardsoni",NA,NA,NA
"167232","sculpin, slimy","Cottus cognatus","162",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21339","Malacocottus sp.",NA,NA,NA
"167232","sculpin, slimy","Cottus cognatus","162",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21312","Spotfin sculpin",NA,NA,NA
"167232","sculpin, slimy","Cottus cognatus","162",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21331","Hookear Sculpin",NA,NA,NA
"167232","sculpin, slimy","Cottus cognatus","162",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21300","sculpin unident.",29,"unident. Sculpin",""
"167316","sculpin, fourhorn","Myoxocephalus quadricornis","163",NA,"160","Sculpins","440","MYOXOCEPHALUS SCULPIN UNIDENTIFIED","21377","Myoxocephalus quadricornis ",NA,NA,NA
"167316","sculpin, fourhorn","Myoxocephalus quadricornis","163",NA,"160","Sculpins","440","MYOXOCEPHALUS SCULPIN UNIDENTIFIED","21375","MYOXOCEPHALUS  UNIDENTIFIED",NA,NA,NA
"167233","sculpin, prickly","Cottus asper","164",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21305","Zesticelus profundorum",NA,NA,NA
"167233","sculpin, prickly","Cottus asper","164",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21329","Gymnocanthus detrisus ",NA,NA,NA
"167233","sculpin, prickly","Cottus asper","164",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21333","Artediellus pacificus",NA,NA,NA
"167233","sculpin, prickly","Cottus asper","164",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21334","Artediellus scaber ",NA,NA,NA
"167233","sculpin, prickly","Cottus asper","164",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21337","broadfin sculpin",NA,NA,NA
"167233","sculpin, prickly","Cottus asper","164",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21338","Malacocottus aleuticus",NA,NA,NA
"167233","sculpin, prickly","Cottus asper","164",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21353","crescent-tail sculpin",NA,NA,NA
"167233","sculpin, prickly","Cottus asper","164",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21360","brightbelly sculpin",NA,NA,NA
"167233","sculpin, prickly","Cottus asper","164",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21379","hairhead sculpin",NA,NA,NA
"167233","sculpin, prickly","Cottus asper","164",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21405","eyeshade sculpin ",NA,NA,NA
"167233","sculpin, prickly","Cottus asper","164",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21423","Eurymen gyrinus",NA,NA,NA
"167233","sculpin, prickly","Cottus asper","164",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21421","Sculpins Unidentified",NA,NA,NA
"167233","sculpin, prickly","Cottus asper","164",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21415","Rhamphocottus richardsoni",NA,NA,NA
"167233","sculpin, prickly","Cottus asper","164",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21339","Malacocottus sp.",NA,NA,NA
"167233","sculpin, prickly","Cottus asper","164",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21312","Spotfin sculpin",NA,NA,NA
"167233","sculpin, prickly","Cottus asper","164",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21331","Hookear Sculpin",NA,NA,NA
"167233","sculpin, prickly","Cottus asper","164",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21300","sculpin unident.",29,"unident. Sculpin",""
"167234","sculpin, riffle","Cottus gulosus","165",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21305","Zesticelus profundorum",NA,NA,NA
"167234","sculpin, riffle","Cottus gulosus","165",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21329","Gymnocanthus detrisus ",NA,NA,NA
"167234","sculpin, riffle","Cottus gulosus","165",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21333","Artediellus pacificus",NA,NA,NA
"167234","sculpin, riffle","Cottus gulosus","165",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21334","Artediellus scaber ",NA,NA,NA
"167234","sculpin, riffle","Cottus gulosus","165",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21337","broadfin sculpin",NA,NA,NA
"167234","sculpin, riffle","Cottus gulosus","165",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21338","Malacocottus aleuticus",NA,NA,NA
"167234","sculpin, riffle","Cottus gulosus","165",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21353","crescent-tail sculpin",NA,NA,NA
"167234","sculpin, riffle","Cottus gulosus","165",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21360","brightbelly sculpin",NA,NA,NA
"167234","sculpin, riffle","Cottus gulosus","165",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21379","hairhead sculpin",NA,NA,NA
"167234","sculpin, riffle","Cottus gulosus","165",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21405","eyeshade sculpin ",NA,NA,NA
"167234","sculpin, riffle","Cottus gulosus","165",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21423","Eurymen gyrinus",NA,NA,NA
"167234","sculpin, riffle","Cottus gulosus","165",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21421","Sculpins Unidentified",NA,NA,NA
"167234","sculpin, riffle","Cottus gulosus","165",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21415","Rhamphocottus richardsoni",NA,NA,NA
"167234","sculpin, riffle","Cottus gulosus","165",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21339","Malacocottus sp.",NA,NA,NA
"167234","sculpin, riffle","Cottus gulosus","165",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21312","Spotfin sculpin",NA,NA,NA
"167234","sculpin, riffle","Cottus gulosus","165",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21331","Hookear Sculpin",NA,NA,NA
"167234","sculpin, riffle","Cottus gulosus","165",NA,"160","Sculpins","400","SCULPIN UNIDENTIFIED","21300","sculpin unident.",29,"unident. Sculpin",""
